Santos;BR;Paranaguá;BR;MAERSK;0;-23.9678823;-46.3288865;-25.5148826;-48.5225655
Santos;BR;Paranaguá;BR;MSC;2;-23.9678823;-46.3288865;-25.5148826;-48.5225655
Santos;BR;Paranaguá;BR;CMA CGM;6;-23.9678823;-46.3288865;-25.5148826;-48.5225655
Santos;BR;Paranaguá;BR;HAMBURG SUD;2;-23.9678823;-46.3288865;-25.5148826;-48.5225655
Santos;BR;Paranaguá;BR;EVERGREEN;0;-23.9678823;-46.3288865;-25.5148826;-48.5225655
Santos;BR;Suape;BR;HAPAG-LLOYD;4;-23.9678823;-46.3288865;-8.3536618;-34.9575528
Santos;BR;Suape;BR;APL;4;-23.9678823;-46.3288865;-8.3536618;-34.9575528
Santos;BR;Suape;BR;MAERSK;7;-23.9678823;-46.3288865;-8.3536618;-34.9575528
Santos;BR;Suape;BR;MSC;5;-23.9678823;-46.3288865;-8.3536618;-34.9575528
Santos;BR;Suape;BR;CMA CGM;5;-23.9678823;-46.3288865;-8.3536618;-34.9575528
Santos;BR;Suape;BR;HAMBURG SUD;5;-23.9678823;-46.3288865;-8.3536618;-34.9575528
Santos;BR;Suape;BR;;4;-23.9678823;-46.3288865;-8.3536618;-34.9575528
Santos;BR;Itaqui;BR;MSC;0;-23.9678823;-46.3288865;-23.5241805;-46.9428727
Santos;BR;Itaqui;BR;COSCO;0;-23.9678823;-46.3288865;-23.5241805;-46.9428727
Santos;BR;Itaqui;BR;ZIM;0;-23.9678823;-46.3288865;-23.5241805;-46.9428727
Santos;BR;Itaqui;BR;CMA CGM;0;-23.9678823;-46.3288865;-23.5241805;-46.9428727
Santos;BR;Itaqui;BR;MAERSK;0;-23.9678823;-46.3288865;-23.5241805;-46.9428727
Santos;BR;Itaqui;BR;;0;-23.9678823;-46.3288865;-23.5241805;-46.9428727
Santos;BR;Itaqui;BR;HAMBURG SUD;0;-23.9678823;-46.3288865;-23.5241805;-46.9428727
Santos;BR;Itaqui;BR;ONE;0;-23.9678823;-46.3288865;-23.5241805;-46.9428727
Santos;BR;Itaqui;BR;EVERGREEN;0;-23.9678823;-46.3288865;-23.5241805;-46.9428727
Santos;BR;Itaqui;BR;PIL;0;-23.9678823;-46.3288865;-23.5241805;-46.9428727
Santos;BR;Itaqui;BR;YANG MING;0;-23.9678823;-46.3288865;-23.5241805;-46.9428727
Santos;BR;Itaqui;BR;HAPAG-LLOYD;0;-23.9678823;-46.3288865;-23.5241805;-46.9428727
Santos;BR;Itaqui;BR;APL;0;-23.9678823;-46.3288865;-23.5241805;-46.9428727
Santos;BR;Itaqui;BR;HYUNDAI;0;-23.9678823;-46.3288865;-23.5241805;-46.9428727
Santos;BR;Itaqui;BR;OOCL;0;-23.9678823;-46.3288865;-23.5241805;-46.9428727
Santos;BR;Itaqui;BR;SAFMARINE;0;-23.9678823;-46.3288865;-23.5241805;-46.9428727
Santos;BR;Vila do Conde;PT;Não informado;11 days;-23.9678823;-46.3288865;41.3517302;-8.7478619
Santos;BR;Paranaguá;BR;HAPAG-LLOYD;0;-23.9678823;-46.3288865;-25.5148826;-48.5225655
Santos;BR;Paranaguá;BR;ZIM;1;-23.9678823;-46.3288865;-25.5148826;-48.5225655
Santos;BR;Paranaguá;BR;MAERSK;0;-23.9678823;-46.3288865;-25.5148826;-48.5225655
Santos;BR;Paranaguá;BR;MSC;2;-23.9678823;-46.3288865;-25.5148826;-48.5225655
Santos;BR;Paranaguá;BR;CMA CGM;6;-23.9678823;-46.3288865;-25.5148826;-48.5225655
Santos;BR;Paranaguá;BR;HAMBURG SUD;2;-23.9678823;-46.3288865;-25.5148826;-48.5225655
Santos;BR;Paranaguá;BR;EVERGREEN;0;-23.9678823;-46.3288865;-25.5148826;-48.5225655
Santos;BR;Suape;BR;HAPAG-LLOYD;4;-23.9678823;-46.3288865;-8.3536618;-34.9575528
Santos;BR;Suape;BR;APL;4;-23.9678823;-46.3288865;-8.3536618;-34.9575528
Santos;BR;Suape;BR;MAERSK;7;-23.9678823;-46.3288865;-8.3536618;-34.9575528
Santos;BR;Suape;BR;MSC;5;-23.9678823;-46.3288865;-8.3536618;-34.9575528
Santos;BR;Suape;BR;CMA CGM;5;-23.9678823;-46.3288865;-8.3536618;-34.9575528
Santos;BR;Suape;BR;HAMBURG SUD;5;-23.9678823;-46.3288865;-8.3536618;-34.9575528
Santos;BR;Suape;BR;;4;-23.9678823;-46.3288865;-8.3536618;-34.9575528
Santos;BR;Itaqui;BR;MSC;0;-23.9678823;-46.3288865;-23.5241805;-46.9428727
Santos;BR;Itaqui;BR;COSCO;0;-23.9678823;-46.3288865;-23.5241805;-46.9428727
Santos;BR;Itaqui;BR;ZIM;0;-23.9678823;-46.3288865;-23.5241805;-46.9428727
Santos;BR;Itaqui;BR;CMA CGM;0;-23.9678823;-46.3288865;-23.5241805;-46.9428727
Santos;BR;Itaqui;BR;MAERSK;0;-23.9678823;-46.3288865;-23.5241805;-46.9428727
Santos;BR;Itaqui;BR;;0;-23.9678823;-46.3288865;-23.5241805;-46.9428727
Santos;BR;Itaqui;BR;HAMBURG SUD;0;-23.9678823;-46.3288865;-23.5241805;-46.9428727
Santos;BR;Itaqui;BR;ONE;0;-23.9678823;-46.3288865;-23.5241805;-46.9428727
Santos;BR;Itaqui;BR;EVERGREEN;0;-23.9678823;-46.3288865;-23.5241805;-46.9428727
Santos;BR;Itaqui;BR;PIL;0;-23.9678823;-46.3288865;-23.5241805;-46.9428727
Santos;BR;Itaqui;BR;YANG MING;0;-23.9678823;-46.3288865;-23.5241805;-46.9428727
Santos;BR;Itaqui;BR;HAPAG-LLOYD;0;-23.9678823;-46.3288865;-23.5241805;-46.9428727
Santos;BR;Itaqui;BR;APL;0;-23.9678823;-46.3288865;-23.5241805;-46.9428727
Santos;BR;Itaqui;BR;HYUNDAI;0;-23.9678823;-46.3288865;-23.5241805;-46.9428727
Santos;BR;Itaqui;BR;OOCL;0;-23.9678823;-46.3288865;-23.5241805;-46.9428727
Santos;BR;Itaqui;BR;SAFMARINE;0;-23.9678823;-46.3288865;-23.5241805;-46.9428727
Santos;BR;Vila do Conde;PT;Não informado;11 days;-23.9678823;-46.3288865;41.3517302;-8.7478619
Santos;BR;Manaus;BR;APL;14;-23.9678823;-46.3288865;-3.1190275;-60.0217314
Santos;BR;Manaus;BR;MAERSK;15;-23.9678823;-46.3288865;-3.1190275;-60.0217314
Santos;BR;Manaus;BR;CMA CGM;14;-23.9678823;-46.3288865;-3.1190275;-60.0217314
Santos;BR;Manaus;BR;HAMBURG SUD;15;-23.9678823;-46.3288865;-3.1190275;-60.0217314
Santos;BR;Paranaguá;BR;HAPAG-LLOYD;0;-23.9678823;-46.3288865;-25.5148826;-48.5225655
Santos;BR;Paranaguá;BR;ZIM;1;-23.9678823;-46.3288865;-25.5148826;-48.5225655
Santos;BR;Paranaguá;BR;MAERSK;0;-23.9678823;-46.3288865;-25.5148826;-48.5225655
Santos;BR;Paranaguá;BR;MSC;2;-23.9678823;-46.3288865;-25.5148826;-48.5225655
Santos;BR;Paranaguá;BR;CMA CGM;6;-23.9678823;-46.3288865;-25.5148826;-48.5225655
Santos;BR;Paranaguá;BR;HAMBURG SUD;2;-23.9678823;-46.3288865;-25.5148826;-48.5225655
Santos;BR;Paranaguá;BR;EVERGREEN;0;-23.9678823;-46.3288865;-25.5148826;-48.5225655
Santos;BR;Suape;BR;HAPAG-LLOYD;4;-23.9678823;-46.3288865;-8.3536618;-34.9575528
Santos;BR;Suape;BR;APL;4;-23.9678823;-46.3288865;-8.3536618;-34.9575528
Santos;BR;Suape;BR;MAERSK;7;-23.9678823;-46.3288865;-8.3536618;-34.9575528
Santos;BR;Suape;BR;MSC;5;-23.9678823;-46.3288865;-8.3536618;-34.9575528
Santos;BR;Suape;BR;CMA CGM;5;-23.9678823;-46.3288865;-8.3536618;-34.9575528
Santos;BR;Suape;BR;HAMBURG SUD;5;-23.9678823;-46.3288865;-8.3536618;-34.9575528
Santos;BR;Suape;BR;;4;-23.9678823;-46.3288865;-8.3536618;-34.9575528
Santos;BR;Itaqui;BR;MSC;0;-23.9678823;-46.3288865;-23.5241805;-46.9428727
Santos;BR;Itaqui;BR;COSCO;0;-23.9678823;-46.3288865;-23.5241805;-46.9428727
Santos;BR;Itaqui;BR;ZIM;0;-23.9678823;-46.3288865;-23.5241805;-46.9428727
Santos;BR;Itaqui;BR;CMA CGM;0;-23.9678823;-46.3288865;-23.5241805;-46.9428727
